               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085786,            0.013105,            0.041136,             0.21318,             0.17186,             0.10129,            0.026766,            0.071492,           0.0071656,            0.028426,           0.0033329,           0.0033329,            0.070004
                   1,            0.071889,            0.012869,             0.02885,             0.33232,             0.23537,             0.18498,            0.061191,            0.066985,           0.0071441,            0.025094,           0.0065196,           0.0065196,            0.039857
                   2,             0.07013,            0.012808,            0.026558,             0.32814,             0.25072,             0.21354,            0.068109,            0.065597,           0.0071613,            0.023052,           0.0095596,           0.0095596,           0.0095635
                   3,            0.067833,            0.012656,             0.02477,             0.44521,             0.29218,             0.26269,            0.094209,            0.063358,           0.0068982,            0.022466,             0.00934,             0.00934,             0.00934
                   4,            0.065066,            0.012419,            0.022381,             0.45638,             0.28031,               0.263,              0.1016,            0.062736,           0.0070668,            0.023691,             0.00934,             0.00934,             0.00934
                   5,            0.062824,            0.012248,            0.020851,             0.49124,              0.3032,             0.28217,              0.0968,            0.061139,           0.0069392,            0.021734,             0.00912,             0.00912,             0.00912
                   6,            0.066369,            0.012669,            0.024731,             0.39322,             0.27023,             0.24058,            0.086151,            0.063266,           0.0069781,            0.022427,              0.0089,              0.0089,              0.0089
                   7,            0.062846,            0.012335,            0.021148,             0.46789,             0.29211,             0.28141,             0.10091,            0.061274,           0.0070055,            0.021577,             0.00868,             0.00868,             0.00868
                   8,            0.061031,            0.012191,            0.020002,             0.49466,             0.30985,             0.30028,             0.10701,            0.060322,           0.0068241,             0.02191,             0.00846,             0.00846,             0.00846
                   9,            0.059546,            0.011986,            0.018806,             0.50771,             0.32107,             0.30426,             0.11143,            0.060073,           0.0068057,            0.021288,             0.00824,             0.00824,             0.00824
                  10,            0.057775,             0.01188,            0.017824,             0.50322,             0.34657,             0.33447,             0.12512,            0.058614,           0.0067928,             0.02117,             0.00802,             0.00802,             0.00802
                  11,            0.057246,            0.011848,            0.017498,             0.53138,             0.33594,             0.33974,             0.12439,            0.058292,           0.0067879,             0.02069,              0.0078,              0.0078,              0.0078
                  12,            0.056283,            0.011659,             0.01683,             0.51871,              0.3354,             0.33052,             0.12431,            0.058498,           0.0067623,             0.02065,             0.00758,             0.00758,             0.00758
                  13,            0.055378,            0.011612,            0.016415,             0.52588,             0.35392,             0.34751,             0.12893,            0.057907,            0.006766,            0.021313,             0.00736,             0.00736,             0.00736
                  14,            0.055148,            0.011627,            0.016373,             0.55189,             0.34991,             0.36059,             0.13424,            0.058197,           0.0067526,            0.020595,             0.00714,             0.00714,             0.00714
                  15,            0.056189,             0.01173,            0.017159,             0.53671,             0.34822,             0.35431,             0.12829,            0.057783,           0.0067135,            0.021415,             0.00692,             0.00692,             0.00692
                  16,            0.056129,            0.011737,            0.017071,             0.54105,             0.33731,             0.34062,             0.12412,            0.058166,           0.0066883,            0.022295,              0.0067,              0.0067,              0.0067
                  17,            0.054026,            0.011465,            0.015581,             0.56297,             0.35006,             0.35648,             0.13292,            0.057559,           0.0067382,            0.022176,             0.00648,             0.00648,             0.00648
                  18,            0.052619,            0.011264,            0.014788,             0.55707,             0.36764,             0.37247,             0.14041,            0.056924,           0.0067126,            0.021549,             0.00626,             0.00626,             0.00626
                  19,            0.051955,            0.011148,            0.014363,             0.56477,             0.37137,             0.37879,              0.1443,            0.056593,           0.0066787,            0.021635,             0.00604,             0.00604,             0.00604
                  20,            0.051392,            0.011083,             0.01404,             0.55198,             0.37785,              0.3818,             0.14485,            0.056453,           0.0066886,            0.021837,             0.00582,             0.00582,             0.00582
                  21,            0.050766,            0.011036,            0.013805,             0.55512,             0.37828,             0.38391,             0.14616,            0.056243,           0.0066991,            0.021996,              0.0056,              0.0056,              0.0056
                  22,            0.050403,            0.010953,            0.013425,              0.5502,             0.38297,             0.38504,             0.14635,             0.05624,           0.0066997,            0.022037,             0.00538,             0.00538,             0.00538
                  23,            0.050213,            0.010992,            0.013574,             0.54306,             0.39013,             0.38443,             0.14638,            0.056241,           0.0067012,            0.022266,             0.00516,             0.00516,             0.00516
                  24,            0.049367,            0.010843,            0.013096,             0.53879,             0.38831,             0.38251,             0.14697,            0.056181,           0.0066964,            0.022477,             0.00494,             0.00494,             0.00494
                  25,            0.048881,            0.010756,            0.012728,             0.53979,             0.38825,             0.38335,             0.14787,            0.056131,           0.0066977,            0.022694,             0.00472,             0.00472,             0.00472
                  26,            0.048451,            0.010712,            0.012623,             0.55306,             0.38027,             0.38363,             0.14833,            0.056154,           0.0066908,            0.022695,              0.0045,              0.0045,              0.0045
                  27,            0.048042,            0.010678,            0.012418,             0.55795,             0.38021,             0.38661,             0.14964,            0.056108,           0.0066792,            0.022721,             0.00428,             0.00428,             0.00428
                  28,            0.047565,            0.010643,            0.012169,              0.5544,             0.37998,             0.38656,              0.1503,            0.056037,           0.0066757,            0.022789,             0.00406,             0.00406,             0.00406
                  29,            0.047082,            0.010548,            0.012017,             0.55581,             0.37951,             0.38702,             0.15091,            0.055951,           0.0066691,            0.022816,             0.00384,             0.00384,             0.00384
                  30,            0.046579,            0.010464,            0.011718,             0.55587,             0.37851,             0.38729,             0.15136,            0.055934,           0.0066648,            0.022841,             0.00362,             0.00362,             0.00362
                  31,            0.045921,            0.010324,            0.011504,             0.56344,             0.37624,             0.38713,             0.15173,            0.055889,           0.0066675,            0.022901,              0.0034,              0.0034,              0.0034
                  32,            0.045666,            0.010306,            0.011381,             0.55928,             0.37814,             0.38763,             0.15213,            0.055901,            0.006671,            0.022872,             0.00318,             0.00318,             0.00318
                  33,            0.045446,            0.010321,            0.011246,             0.55811,             0.38034,             0.38789,             0.15161,            0.055914,           0.0066758,            0.022881,             0.00296,             0.00296,             0.00296
                  34,            0.044613,            0.010233,             0.01095,             0.55155,             0.38446,             0.38841,             0.15139,            0.055921,           0.0066777,            0.022922,             0.00274,             0.00274,             0.00274
                  35,            0.044334,            0.010149,            0.010834,             0.54951,             0.38463,               0.388,             0.15145,             0.05591,           0.0066784,            0.022998,             0.00252,             0.00252,             0.00252
                  36,            0.043535,            0.010055,            0.010352,             0.55477,             0.38413,             0.38819,             0.15175,            0.055892,           0.0066781,            0.023043,              0.0023,              0.0023,              0.0023
                  37,            0.043092,            0.009947,             0.01019,             0.55723,             0.38298,             0.38879,             0.15195,            0.055892,           0.0066799,            0.023087,             0.00208,             0.00208,             0.00208
                  38,            0.042838,            0.010003,             0.01022,             0.56425,             0.38104,             0.38889,               0.152,            0.055883,           0.0066801,            0.023169,             0.00186,             0.00186,             0.00186
                  39,             0.04221,            0.009857,           0.0099657,              0.5631,             0.38279,             0.38881,             0.15159,            0.055893,           0.0066826,            0.023257,             0.00164,             0.00164,             0.00164
                  40,            0.041786,           0.0098013,           0.0099247,             0.55476,             0.38512,             0.38845,             0.15112,              0.0559,           0.0066868,            0.023339,             0.00142,             0.00142,             0.00142
                  41,            0.041293,           0.0096972,           0.0095306,             0.55363,             0.38595,             0.38877,             0.15107,            0.055904,           0.0066898,            0.023401,              0.0012,              0.0012,              0.0012
                  42,            0.040587,           0.0096408,           0.0093117,             0.55328,             0.38471,             0.38868,             0.15129,            0.055905,           0.0066907,             0.02345,             0.00098,             0.00098,             0.00098
